71656652,Lrmp,sagittal
73767284,F430201E05Rik*,sagittal
69059976,Tmem19,sagittal
68191204,Dpyd,sagittal
71574473,Alpk3,sagittal
77371805,Rmnd1,coronal
74431053,Cd72,sagittal
69262254,Taf1c,sagittal
70431217,Casp3,sagittal
70743883,Depdc7,coronal
74047746,Ttn,coronal
70218235,4930524B15Rik,sagittal
808,Pld3,coronal
74724211,Olfr574,sagittal
633290,Shroom1,sagittal
70724756,Qrfpr,sagittal
70228382,A330009N23Rik,sagittal
70812780,Snx13,sagittal
73712726,Tnfaip8,sagittal
83158,Otud6b,coronal
69448692,A530023O14Rik,sagittal
71789724,Tsc22d3,sagittal
73808355,B230215A15Rik*,sagittal
68191516,Gyk,sagittal
71020430,2610028E06Rik,coronal
70238991,Dmxl2,sagittal
71809331,Cdh29,sagittal
1366,Itsn1,sagittal
79591719,Gria1,coronal
73808546,A330089M16Rik*,sagittal
71280511,Gnaq,sagittal
69169594,Rsl1d1,sagittal
69531067,Dmxl1,sagittal
69529334,Blm,sagittal
69817649,Ptgis,sagittal
71919224,Prl2b1,sagittal
76135829,Doc2a,coronal
75492195,Man1a,sagittal
70474923,Xrcc6bp1,sagittal
68544991,Blk,sagittal
80473477,Slc13a1,sagittal
73732152,P4ha2,coronal
74821601,Chrna5,sagittal
69751980,Map1lc3b,sagittal
71724750,Ufd1l,sagittal
1988,6330407J23Rik,coronal
70724535,Adamts7,sagittal
1260,Pde4d,sagittal
70634139,Ttc39b,coronal
71152354,Rapgef6,sagittal
73818824,AI452102,sagittal
69289787,Rcbtb1,sagittal
74657930,Trim36,coronal
69527872,Tmem74,sagittal
69548807,Cenpe,sagittal
479,Gad1,coronal
69526725,Apc,sagittal
67978746,Atpif1,sagittal
74736498,Vmn1r39,sagittal
73769323,Lhfp,coronal
70919370,Cat,sagittal
71022726,BC068157,sagittal
69672462,Fibcd1,sagittal
68546554,Prkci,sagittal
564759,Cttn,sagittal
75774679,Nup93,coronal
2693,Traf5,coronal
68924437,Commd4,sagittal
69237221,S1pr4,sagittal
76003679,Lace1,sagittal
70593157,Ankrd34b,sagittal
75990492,D630003M21Rik,sagittal
73834102,Stx12,sagittal
69079990,Josd1,sagittal
70723271,LOC433467,sagittal
71152599,Mm.235026,sagittal
70724792,H2-M10.1,sagittal
77464848,Pld3,sagittal
76135593,Rbms1,sagittal
2736,Wnt6,sagittal
68203442,Slc39a4,sagittal
69736082,Lep,sagittal
68632930,Golga5,sagittal
587426,Parn,sagittal
75496238,Dkk3,sagittal
71808388,Rock2,sagittal
69548939,Chsy1,sagittal
77454690,Cbx1,sagittal
71280976,Msi2,sagittal
71569259,B4galnt3,sagittal
71763634,Uxs1,sagittal
75694427,Slco1a5,sagittal
73513558,Mmgt2,sagittal
73514797,Pcnp,sagittal
70298471,Gm1604b,sagittal
227769,Iffo2,sagittal
73930823,Epha10,coronal
77280559,E330014M11Rik*,coronal
71249739,Rassf8,coronal
72119590,Kl,coronal
71493879,9330182L06Rik,sagittal
71152348,Mm.205191,sagittal
76098405,Skiv2l2,sagittal
846,Psap,coronal
71158919,Afap1l1,sagittal
67814217,Ubqln1,sagittal
69527878,B230396K10Rik,sagittal
77454976,Ly6e,sagittal
69734518,Gp9,sagittal
674,Mrpl39,sagittal
79913124,Calcr,sagittal
559,Hgf,sagittal
69549604,Sash3,sagittal
498,Glrb,coronal
71232740,Gp1ba,sagittal
72077453,Gabra5,coronal
70218968,Nepn,sagittal
71280802,Tor1aip2,sagittal
73931627,Creg1,coronal
437,Fgf21,sagittal
80471957,Tshr,sagittal
74988722,Bsdc1,coronal
68446087,Ect2,sagittal
80514077,Clic5,sagittal
75860934,1700029H14Rik,sagittal
1571,Slc20a1,coronal
68632924,Zg16,sagittal
69113799,1700001P01Rik,sagittal
69407875,Lrguk,sagittal
79591679,Slc6a4,coronal
70724559,Krt72-ps,sagittal
69407791,Rictor,sagittal
69134340,Palb2,sagittal
70431289,Dexi,sagittal
68546287,Pex5,sagittal
68797501,Car11,sagittal
77455149,Mybpc3,sagittal
67979050,Pold2,sagittal
69887457,Sult2a2,sagittal
71529941,Il18rap,sagittal
1181,Hspb8,coronal
70524281,Sertad2,sagittal
74047768,Serpine2,coronal
76003714,Nphs2,sagittal
81600160,A130066N16Rik,sagittal
564757,Hemk1,sagittal
68545989,9530077C05Rik,sagittal
77800927,Gys2,sagittal
80525669,Cdh8,sagittal
79913245,Trhr,sagittal
2373,Leprotl1,coronal
2496,Pparg,sagittal
69448680,Tmem195,sagittal
69116751,Eif4ebp3,sagittal
71213862,Slc28a1,sagittal
74580014,4930448I06Rik,sagittal
77332671,Csrp3,coronal
75694254,Thbd,sagittal
81655564,Dsc3,sagittal
2656,Taf13,sagittal
69531019,Syde2,sagittal
71212416,Snhg6,sagittal
75931579,Vmn1r32,sagittal
69170198,Stk30,sagittal
67978784,Klhdc4,sagittal
70194480,Uba7,sagittal
70717372,Zfr2,sagittal
69014722,Mfsd9,sagittal
69059954,Wasf1,sagittal
68920827,Mmp8,sagittal
73907497,Chrm1,coronal
70431325,Gnb4,sagittal
74819242,Parp8,coronal
68666523,2810007J24Rik,sagittal
1529,Rara,sagittal
74357905,Ipo11,sagittal
69015739,Asb13,sagittal
71489805,Col2a1,sagittal
392911,Polr2g,sagittal
69174286,Odf4,sagittal
77923596,Arhgap12,sagittal
323,Ubxn11,sagittal
68444720,Aspa,sagittal
71152539,Eml1,sagittal
74821830,Hbb,sagittal
75043148,7420498E04Rik*,coronal
71152324,Mm.202219,sagittal
70724708,Eif2c3,sagittal
68924560,Pick1,sagittal
68301114,Lsm2,sagittal
75214737,Olfr1099,sagittal
68301551,Tap1,sagittal
68920821,Qtrt1,sagittal
74819250,Scd2,coronal
69752107,Mcart1,sagittal
79556595,Lpar1,coronal
68196974,Psmb4,sagittal
70919424,Ninj1,sagittal
69059851,Nt5c3,sagittal
68797978,Plunc,sagittal
73423975,Poln,sagittal
79568024,Lhx2,coronal
69782682,Pak1,sagittal
73929886,Rab43,coronal
74047410,Atp11c,coronal
71210097,Itgbl1,sagittal
68666553,Moap1,sagittal
70218944,Srsf18,sagittal
69735024,Hipk1,sagittal
67850950,Tbp,coronal
70523780,D19Ertd737e,sagittal
71493050,Prpf40b,sagittal
69353548,Gtf2ird2,sagittal
69112406,Ggh,sagittal
70722958,LOC433165,sagittal
68920779,Gstm3,sagittal
68667115,Tead2,sagittal
68193071,Atad1,sagittal
68667312,Spcs2,sagittal
2538,Rora,sagittal
222,Cd1d1,sagittal
70928384,Anxa2,coronal
71919080,Gtpbp8,sagittal
74736450,LOC545890,sagittal
74359664,Gm497,sagittal
69262286,Mamdc2,sagittal
69736160,Loxl4,sagittal
68795463,C8a,sagittal
68797553,4930455F23Rik,sagittal
